Address;HouseId;YearBuilt;Zip;Area
Lyngmosevej 41;1;1970;2600;95
Lyngmosevej 42;2;1971;2601;96
Lyngmosevej 43;3;1972;2602;97
Lyngmosevej 44;4;1973;2603;98
Lyngmosevej 45;5;1974;2604;99
Lyngmosevej 46;6;1975;2605;100
Lyngmosevej 47;7;1976;2606;101
Lyngmosevej 48;8;1977;2607;102
Lyngmosevej 49;9;1978;2608;103
Lyngmosevej 50;10;1979;2609;104
Lyngmosevej 51;11;1980;2610;105
Lyngmosevej 52;12;1981;2611;106
Lyngmosevej 53;13;1982;2612;107
Lyngmosevej 54;14;1983;2613;108
Lyngmosevej 55;15;1984;2614;109
Lyngmosevej 56;16;1985;2615;110
Lyngmosevej 57;17;1986;2616;111
Lyngmosevej 58;18;1987;2617;112
Lyngmosevej 59;19;1988;2618;113
Lyngmosevej 60;20;1989;2619;114
Lyngmosevej 61;21;1990;2620;115
Lyngmosevej 62;22;1991;2621;116
Lyngmosevej 63;23;1992;2622;117
Lyngmosevej 64;24;1993;2623;118
Lyngmosevej 65;25;1994;2624;119
Lyngmosevej 66;26;1995;2625;120
Lyngmosevej 67;27;1996;2626;121
Lyngmosevej 68;28;1997;2627;122
Lyngmosevej 69;29;1998;2628;123
Lyngmosevej 70;30;1999;2629;124
Lyngmosevej 71;31;2000;2630;125
Lyngmosevej 72;32;2001;2631;126
Lyngmosevej 73;33;2002;2632;127
Lyngmosevej 74;34;2003;2633;128
Lyngmosevej 75;35;2004;2634;129
Lyngmosevej 76;36;2005;2635;130
Lyngmosevej 77;37;2006;2636;131
Lyngmosevej 78;38;2007;2637;132
Lyngmosevej 79;39;2008;2638;133
Lyngmosevej 80;40;2009;2639;134
Lyngmosevej 81;41;2010;2640;135
Lyngmosevej 82;42;2011;2641;136
Lyngmosevej 83;43;2012;2642;137
Lyngmosevej 84;44;2013;2643;138
Lyngmosevej 85;45;2014;2644;139
Lyngmosevej 86;46;2015;2645;140
Lyngmosevej 87;47;2016;2646;141
Lyngmosevej 88;48;2017;2647;142
Lyngmosevej 89;49;2018;2648;143
Lyngmosevej 90;50;2019;2649;144
Lyngmosevej 91;51;2020;2650;145
Lyngmosevej 92;52;2021;2651;146
Lyngmosevej 93;53;2022;2652;147
Lyngmosevej 94;54;2023;2653;148
Lyngmosevej 95;55;2024;2654;149
Lyngmosevej 96;56;2025;2655;150
Lyngmosevej 97;57;2026;2656;151
Lyngmosevej 98;58;2027;2657;152
Lyngmosevej 99;59;2028;2658;153
Lyngmosevej 100;60;2029;2659;154
Lyngmosevej 101;61;2030;2660;155
Lyngmosevej 102;62;2031;2661;156
Lyngmosevej 103;63;2032;2662;157
Lyngmosevej 104;64;2033;2663;158
Lyngmosevej 105;65;2034;2664;159
Lyngmosevej 106;66;2035;2665;160
Lyngmosevej 107;67;2036;2666;161
Lyngmosevej 108;68;2037;2667;162
Lyngmosevej 109;69;2038;2668;163
Lyngmosevej 110;70;2039;2669;164
Lyngmosevej 111;71;2040;2670;165
Lyngmosevej 112;72;2041;2671;166
Lyngmosevej 113;73;2042;2672;167
Lyngmosevej 114;74;2043;2673;168
Lyngmosevej 115;75;2044;2674;169
Lyngmosevej 116;76;2045;2675;170
Lyngmosevej 117;77;2046;2676;171
Lyngmosevej 118;78;2047;2677;172
Lyngmosevej 119;79;2048;2678;173
Lyngmosevej 120;80;2049;2679;174
Lyngmosevej 121;81;2050;2680;175
Lyngmosevej 122;82;2051;2681;176
Lyngmosevej 123;83;2052;2682;177
Lyngmosevej 124;84;2053;2683;178
Lyngmosevej 125;85;2054;2684;179
Lyngmosevej 126;86;2055;2685;180
Lyngmosevej 127;87;2056;2686;181
Lyngmosevej 128;88;2057;2687;182
Lyngmosevej 129;89;2058;2688;183
Lyngmosevej 130;90;2059;2689;184
Lyngmosevej 131;91;2060;2690;185
Lyngmosevej 132;92;2061;2691;186
Lyngmosevej 133;93;2062;2692;187
Lyngmosevej 134;94;2063;2693;188
Lyngmosevej 135;95;2064;2694;189
Lyngmosevej 136;96;2065;2695;190
Lyngmosevej 137;97;2066;2696;191
Lyngmosevej 138;98;2067;2697;192
Lyngmosevej 139;99;2068;2698;193
Lyngmosevej 140;100;2069;2699;194
Lyngmosevej 141;101;2070;2700;195
Lyngmosevej 142;102;2071;2701;196
Lyngmosevej 143;103;2072;2702;197
Lyngmosevej 144;104;2073;2703;198
Lyngmosevej 145;105;2074;2704;199
Lyngmosevej 146;106;2075;2705;200
Lyngmosevej 147;107;2076;2706;201
Lyngmosevej 148;108;2077;2707;202
Lyngmosevej 149;109;2078;2708;203
Lyngmosevej 150;110;2079;2709;204
Lyngmosevej 151;111;2080;2710;205
Lyngmosevej 152;112;2081;2711;206
Lyngmosevej 153;113;2082;2712;207
Lyngmosevej 154;114;2083;2713;208
Lyngmosevej 155;115;2084;2714;209
Lyngmosevej 156;116;2085;2715;210
Lyngmosevej 157;117;2086;2716;211
Lyngmosevej 158;118;2087;2717;212
Lyngmosevej 159;119;2088;2718;213
Lyngmosevej 160;120;2089;2719;214
Lyngmosevej 161;121;2090;2720;215
Lyngmosevej 162;122;2091;2721;216
Lyngmosevej 163;123;2092;2722;217
Lyngmosevej 164;124;2093;2723;218
Lyngmosevej 165;125;2094;2724;219
Lyngmosevej 166;126;2095;2725;220
Lyngmosevej 167;127;2096;2726;221
Lyngmosevej 168;128;2097;2727;222
Lyngmosevej 169;129;2098;2728;223
Lyngmosevej 170;130;2099;2729;224
Lyngmosevej 171;131;2100;2730;225
Lyngmosevej 172;132;2101;2731;226
Lyngmosevej 173;133;2102;2732;227
Lyngmosevej 174;134;2103;2733;228
